elevation,slope,rainfall,ndvi,ndwi,landcover,flooded,row,col
0.0054711164,0.0,1984.2305,0.0,0.0,60.0,1,755,3375
0.0,0.0,1933.5834,-0.28907758,0.2896259,80.0,1,557,2181
0.0,0.0,2053.255,-0.026666667,0.036076397,80.0,1,458,2730
0.0,0.0,1981.2404,-0.31862745,0.3047103,80.0,1,432,2081
0.0,0.0,1996.2379,0.43066537,-0.3993586,80.0,1,264,3086
0.0,0.0,2105.9624,0.0,0.0,90.0,1,675,4127
0.0,0.0,2100.8308,-0.2608365,0.27027026,80.0,1,672,3810
0.0,0.0,2012.9773,-0.23726115,0.23329332,80.0,1,316,2871
0.0,0.0,1953.2059,-0.1377899,0.12130692,80.0,1,497,2204
0.0,0.0,1887.7562,0.10160934,-0.15195513,80.0,1,641,2215
10.262012,1.0654391,2099.7932,0.54101324,-0.49853373,10.0,1,694,3830
0.0,0.0,2102.4001,-0.3,0.2916112,80.0,1,628,3755
0.0,0.0,1923.3834,-0.38704455,0.36995423,80.0,1,596,2065
0.0,0.0,2150.297,-0.27554616,0.29877216,80.0,1,567,4003
0.0,0.0,2086.1592,-0.2137786,0.16828929,80.0,1,486,2520
0.0,0.0,2289.0283,0.059957173,-0.022727273,90.0,1,480,4094
0.0,0.0,2124.0066,-0.13909031,0.15850516,80.0,1,697,4184
0.0,0.0,2001.4939,-0.087095626,0.06584212,80.0,1,277,3076
0.0,0.0,1954.4126,0.09487477,-0.19615838,80.0,1,541,2538
0.0,0.0,1971.177,-0.17138103,0.17957166,80.0,1,369,3595
0.0,0.0,2123.0422,-0.3125,0.33653188,80.0,1,585,4003
0.0,0.0,1606.0184,-0.07602339,0.002805049,80.0,1,717,124
0.0,0.0,2046.5508,-0.1781414,0.14515093,80.0,1,430,2626
0.0,0.0,2244.345,-0.24,0.25253808,80.0,1,492,3910
0.0,0.0,1489.8783,0.0,0.0,80.0,1,927,41
0.0,0.0,2232.7744,0.10005028,-0.06783797,80.0,1,364,4000
0.0,0.0,2010.8905,-0.19702177,0.1965616,80.0,1,375,3618
0.0,0.0,2081.7607,-0.12699515,0.07883818,80.0,1,460,2567
3.358041,1.1783156,1934.3989,0.0014176354,-0.023471458,80.0,1,293,2110
0.0,0.0,2114.3015,-0.29671803,0.2929293,80.0,1,604,3782
0.0,0.0,1994.0831,-0.13584514,0.09321727,80.0,1,342,2063
0.0,0.0,1875.1322,0.09565217,-0.18976545,60.0,1,640,2267
0.0,0.0,2098.406,-0.27586207,0.27586207,80.0,1,643,3754
